palavra,freq_spam,freq_ham,diff_freq,total_freq
money,142,36,106,178
life,116,32,84,148
click,165,86,79,251
save,104,26,78,130
creative,61,10,51,71
professional,80,29,51,109
pro,55,6,49,61
man,53,10,43,63
macromedia,43,1,42,44
oem,41,1,40,42
guaranteed,46,6,40,52
studio,42,2,40,44
remove,56,17,39,73
identity,40,2,38,42
logo,43,6,37,49
low,61,25,36,86
versions,47,11,36,58
removed,54,19,35,73
mailings,37,3,34,40
online,98,64,34,162
packages,38,4,34,42
thousand,35,1,34,36
graphics,41,9,32,50
hot,52,20,32,72
advertisement,33,2,31,35
corel,31,1,30,32
sites,45,16,29,61
fast,63,34,29,97
dollars,49,20,29,69
privacy,30,1,29,31
shop,30,2,28,32
engines,28,1,27,29
adobe,34,7,27,41
suite,56,30,26,86
agent,28,2,26,30
software,119,93,26,212
website,91,65,26,156
worldwide,44,18,26,62
proven,34,9,25,43
custom,32,7,25,39
investing,27,2,25,29
men,28,4,24,32
norton,25,1,24,26
cheap,32,8,24,40
satisfaction,27,3,24,30
country,47,24,23,71
fresh,31,8,23,39
premiere,24,1,23,25
charset,29,6,23,35
hundred,26,3,23,29
mailing,54,31,23,85
solicitation,27,4,23,31
easy,50,28,22,78
invest,26,4,22,30
stocks,23,2,21,25
competitors,36,16,20,52
draw,26,6,20,32
watch,31,11,20,42
artwork,21,1,20,22
unlimited,26,6,20,32
jul,23,4,19,27
logos,21,2,19,23
formats,22,3,19,25
paid,43,24,19,67
acrobat,28,9,19,37
effects,26,7,19,33
featured,20,2,18,22
revenues,28,10,18,38
image,32,14,18,46
rich,20,2,18,22
love,36,18,18,54
visitors,19,2,17,21
browse,18,1,17,19
shipping,27,10,17,37
opt,23,6,17,29
lose,28,11,17,39
localized,18,1,17,19
hundreds,18,1,17,19
search,42,25,17,67
french,18,1,17,19
unsubscribe,37,21,16,58
yourself,41,25,16,66
edition,34,18,16,52
languages,18,2,16,20
premier,24,9,15,33
offers,51,36,15,87
herein,18,3,15,21
orders,28,13,15,41
invested,21,6,15,27
facts,20,5,15,25
windows,31,16,15,47
immediate,36,22,14,58
max,23,9,14,32
unknown,17,3,14,20
sexual,17,3,14,20
subscribers,17,3,14,20
discounts,16,2,14,18
never,54,40,14,94
countries,24,10,14,34
differ,18,4,14,22
designer,15,1,14,16
perfect,33,19,14,52
construed,14,1,13,15
readers,15,2,13,17
spanish,17,4,13,21
mens,14,1,13,15
male,15,2,13,17
motion,22,9,13,31
broker,16,3,13,19
shares,18,5,13,23
imagine,19,6,13,25
incredibly,19,6,13,25
websites,17,4,13,21
earn,18,5,13,23
ship,19,6,13,25
fees,20,8,12,28
safe,24,12,12,36
samples,15,3,12,18
marketing,63,51,12,114
sais,14,2,12,16
mortgage,16,4,12,20
profitable,17,5,12,22
nothing,29,17,12,46
struggle,14,2,12,16
sum,23,11,12,34
professionals,27,15,12,42
health,24,12,12,36
symbol,13,2,11,15
visible,12,1,11,13
permanent,23,12,11,35
women,12,1,11,13
uncertainties,16,5,11,21
materially,13,2,11,15
pagemaker,12,1,11,13
removal,15,4,11,19
specially,13,2,11,15
age,15,4,11,19
brand,17,6,11,23
html,20,9,11,29
agents,14,3,11,17
registered,24,14,10,38
million,50,40,10,90
guarantee,26,16,10,42
thousands,19,9,10,28
promise,15,5,10,20
claim,20,10,10,30
instant,16,6,10,22
pharmaceutical,12,2,10,14
linux,12,2,10,14
factual,11,1,10,12
girl,11,1,10,12
investors,20,10,10,30
cool,12,2,10,14
partner,28,18,10,46
meaning,16,6,10,22
twenty,11,1,10,12
heart,12,2,10,14
secret,12,2,10,14
statements,22,12,10,34
places,16,6,10,22
constitutes,12,3,9,15
shouldn,12,3,9,15
submitting,17,8,9,25
barry,16,7,9,23
sec,11,2,9,13
absolutely,19,10,9,29
mix,16,7,9,23
expects,13,4,9,17
millions,19,10,9,29
television,11,2,9,13
affordable,10,1,9,11
completeness,11,2,9,13
nowadays,10,1,9,11
remembered,11,2,9,13
promotional,13,4,9,17
africa,11,2,9,13
